epoch,score,loss
1,,0.42936410919343
2,,0.29301480959871
3,,0.21239708326062
4,,0.18301639882956
5,,0.16875827476812
6,,0.16112180117953
7,,0.15609040302014
8,,0.15006670348916
9,,0.14609839785791
10,,0.14319146039325
11,,0.14091646333227
12,,0.13868796798623
13,,0.13713556638731
14,,0.13575458025827
15,,0.13449525963349
16,,0.13341130906503
17,,0.1324538601486
18,,0.13149921691441
19,,0.13055913025833
20,,0.12970019769013
21,,0.12899532237735
22,,0.12844290144205
23,,0.12800901109449
24,,0.12763601872861
25,,0.12733616707975
26,,0.12708621968924
27,,0.12682786118137
28,,0.12651931315839
29,,0.12621494477873
30,,0.12595869950365
31,,0.1257164384988
32,,0.12549449213644
33,,0.12528939115301
34,,0.12509487889148
35,,0.12491149658079
36,,0.12473561566671
37,,0.12457480335985
38,,0.12441598434335
39,,0.12426317658625
40,,0.12412405770782
41,,0.12399847932147
42,,0.12388313598473
43,,0.1237762773595
44,,0.12367859677636
